,x,y
0,-649.3761462497997,-432.2906892473255
1,-673.1060772330198,-415.86938986086085
2,-700.1890692123584,-401.30341532101244
3,-723.9190001945785,-386.73744078116397
4,-740.9428091865316,-366.605491702258
5,-742.3190001955785,-340.90756808350363
6,-726.929886222973,-326.3415935436552
7,-708.1877112552489,-324.7628929293288
8,-692.7985972846733,-339.8821159345478
9,-686.3509793027371,-360.5673134796152
10,-689.9625443091863,-384.96316071791495
11,-703.6332923030211,-403.79303341636626
12,-726.2455362875249,-417.0569315749691
13,-751.0931542694611,-422.8995303471073
14,-775.9407722513973,-419.4655048869557
15,-798.5530162369013,-404.8995303471073
16,-814.4591382291383,-382.9122564215852
17,-823.6591382291383,-359.06965764865606
18,-830.6237642317359,-337.08238372313394
19,-835.3530162369013,-311.38446010437957
20,-840.0822682420666,-285.6865364848342
21,-844.811520247232,-259.98861286607985
22,-846.1877112552489,-234.29068924732547
23,-847.5639022642958,-208.59276562778012
24,-847.8224062746265,-181.0395171624096
25,-836.9040402978557,-157.19691839027138
26,-815.9264913327293,-146.34159354365522
27,-798.3020033637214,-157.7501668556419
28,-794.0897593792174,-182.14601409394163
29,-806.642820375336,-204.68653648483422
30,-829.2550643608399,-217.95043464343706
31,-857.4557433388945,-220.08238372313394
32,-885.6564223169493,-211.08238372313394
33,-912.7394142962879,-200.2270588765178
34,-946.6577802730587,-190.4377085697501
35,-975.9761462497997,-188.85900795542375
36,-1003.0591382291384,-185.42498249527216
37,-1023.4360082162399,-170.85900795542375
38,-1030.4006342188077,-147.01640918328548
39,-1021.717642239469,-125.02913525776341
40,-1001.8577802730588,-112.3184855645311
41,-978.6448573105001,-118.16108433666932
42,-969.9618653311614,-138.8462818817368
43,-979.1618653301614,-155.82082973357194
44,-1004.0094833120678,-159.80810365909394
45,-1027.7394142952878,-147.09745396586163
46,-1041.4101622901226,-126.96550488695573
47,-1043.9040402978558,-103.12290611402659
48,-1034.1033613198308,-82.99095703512057
49,-1013.1258123546745,-73.99095703512057
50,-994.3836373869506,-83.5442055004911
51,-983.4652714102095,-104.22940304555857
52,-984.8414624192563,-126.76992543724214
53,-998.512210414091,-143.7444732890773
54,-1023.3598283959974,-147.7317472145994
55,-1043.7366983830989,-133.16577267475088
56,-1047.348263389548,-111.17849874922888
57,-1034.194523415375,-92.90187451614804
58,-1014.3346614489349,-85.75719936276425
59,-993.3571124838084,-89.74447328907729
60,-976.8503115145165,-104.86369629429623
61,-971.5203805312965,-125.54889383857267
62,-982.9557545286989,-144.37876653702403
63,-1005.5679985132028,-152.07669015577835
64,-1027.0625554990204,-141.22136530916225
65,-1040.7333034938551,-122.94474107687245
66,-1043.2271815015883,-100.95746715055941
67,-1036.7795635196521,-78.97019322503729
68,-1024.743510544195,-60.69356899195657
69,-1012.7074575687378,-44.272269606282975
70,-995.08296959973,-33.41694475966676
71,-974.1054206345736,-37.40421868518888
72,-967.6578026526674,-59.94474107687245
73,-982.4462376462182,-80.62993862193991
74,-1008.4115426268406,-90.18318708731044
75,-1037.7299086035816,-88.60448647377495
76,-1063.695213584234,-75.89383678054276
77,-1084.0720835713057,-61.32786224069423
78,-1105.5666405571233,-43.051238007613506
79,-1127.061197542911,-22.9192889287076
80,-1147.4380675299828,-4.642664695626877
81,-1162.2265025235336,15.489284383279141
82,-1161.3673195351482,35.621233462975965
83,-1145.9782055635726,46.47655830959218
84,-1125.0006565984163,44.34460922989524
85,-1106.2584816307221,29.2253862246763
86,-1095.3401156529512,6.684863833783652
87,-1094.480932664566,-19.566308251132227
88,-1105.916306661998,-43.962155488640974
89,-1128.528550646502,-60.93670334047613
90,-1157.846916623243,-68.63462696002148
91,-1186.0475956012976,-65.20060149907897
92,-1219.8367095729031,-52.48995180663758
93,-1242.448953557407,-36.06865242017295
94,-1263.9435105431949,-21.50267788032454
95,-1283.2026935315805,-6.936703340476129
96,-1303.579563518652,5.7739463519652645
97,-1326.1918075031858,20.339920891813676
98,-1346.5686774902576,36.7612202782783
99,-1364.7101734799269,56.893169357184206
