0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1325.858437,0,-214.0280833,1369.067258,400.6275161,-126.0261383,1454.489747,802.1011946,-51.41266838,1592.8758,1204.68119,11.27613426,1774.035464,1608.308774,61.62784307,1984.835551,2012.765234,58.79476634,2188.322034,2416.10524,58.29429068,2381.281691,2815.461002,58.78378537,2560.258247,3207.491149,60.22856351,2721.220001,3587.95826,63.2542709,2860.282441,3952.630586,68.67742914,2973.590128,4296.856851,76.65344527,3058.655607,4617.164234,84.8313963,3067.361304,4905.812314,90.07786084,3048.403262,5157.437913,95.48580047,3002.203138,5369.383891,108.9363651,2924.678572,5532.371163,135.7105187
1321.402563,0,-213.1278851,1364.605541,400.6275161,-125.1108293,1450.019433,802.1011946,-50.48962776,1588.393243,1204.68119,12.1946601,1769.538509,1608.308774,62.53324664,1980.332772,2012.765234,59.66743176,2183.842594,2416.10524,59.12544266,2376.860614,2815.461002,59.56934248,2555.936026,3207.491149,60.96490162,2717.042656,3587.95826,63.93608284,2856.300665,3952.630586,69.29712071,2969.858227,4296.856851,77.20350466,3055.229012,4617.164234,85.31279968,3064.323355,4905.812314,90.49915916,3045.801584,5157.437913,95.85069152,3000.075978,5369.383891,109.2220311,2923.060702,5532.371163,135.8777402
1308.118087,0,-210.1611541,1351.304718,400.6275161,-122.0985814,1436.693685,802.1011946,-47.45382715,1575.031104,1204.68119,15.217509,1756.133114,1608.308774,65.51747164,1966.908586,2012.765234,62.54220292,2170.48643,2416.10524,61.86290839,2363.677118,2815.461002,62.15567789,2543.046186,3207.491149,63.38773299,2704.58386,3587.95826,66.17814021,2844.424142,3952.630586,71.33449556,2958.725968,4296.856851,79.01280382,3045.006684,4617.164234,86.89631442,3055.26043,4905.812314,91.8749701,3038.040407,5157.437913,97.0324511,2993.73009,5369.383891,110.1442973,2918.232715,5532.371163,136.4261319
1286.279383,0,-204.6535862,1329.441531,400.6275161,-116.515256,1414.791094,802.1011946,-41.83083044,1553.068914,1204.68119,20.82008755,1734.099061,1608.308774,71.05735214,1944.840487,2012.765234,67.87607237,2148.526691,2416.10524,66.9412327,2341.998279,2815.461002,66.95202159,2521.847723,3207.491149,67.87823842,2684.092051,3587.95826,70.33116012,2824.887802,3952.630586,75.10785916,2940.411584,4296.856851,82.36579696,3028.187515,4617.164234,89.8313046,3040.348837,4905.812314,94.40539852,3025.271211,5157.437913,99.18636506,2983.288829,5369.383891,111.8195386,2910.285681,5532.371163,137.4402015
1256.364772,0,-196.2501919,1299.496625,400.6275161,-108.0070849,1384.794334,802.1011946,-33.26742383,1522.990794,1204.68119,29.3560863,1703.921437,1608.308774,79.50779299,1914.611971,2012.765234,76.0095858,2118.441926,2416.10524,74.68489985,2312.2943,2815.461002,74.26453777,2492.798555,3207.491149,74.72208357,2656.008217,3587.95826,76.65847041,2798.1104,3952.630586,80.85686015,2915.305888,4296.856851,87.47756001,3005.129078,4617.164234,94.30711842,3019.905609,4905.812314,98.24206066,3007.765961,5157.437913,102.4293176,2968.974138,5369.383891,114.3354162,2899.385975,5532.371163,138.9862275
1219.01988,0,-184.7561446,1262.117686,400.6275161,-96.38141541,1347.353106,802.1011946,-21.57229456,1485.44828,1204.68119,41.01681592,1666.253413,1608.308774,91.06108076,1876.875501,2012.765234,87.12772813,2080.879501,2416.10524,85.27100204,2275.202624,2815.461002,84.26103349,2456.520624,3207.491149,84.0764163,2620.932333,3587.95826,85.3055155,2764.662692,3952.630586,88.71468098,2883.942628,4296.856851,94.46879263,2976.320545,4617.164234,100.4310256,2994.364482,4905.812314,103.4701652,2985.896481,5157.437913,106.8257334,2951.089732,5369.383891,117.7402325,2885.76275,5532.371163,141.1043441
1175.019487,0,-170.1561284,1218.081131,400.6275161,-81.62588911,1303.245708,802.1011946,-6.735061254,1441.221789,1204.68119,55.81229089,1621.877622,1608.308774,105.7280505,1832.413959,2012.765234,101.2416872,2036.617385,2416.10524,98.71167325,2231.49034,2815.461002,96.95419917,2413.76324,3207.491149,95.95404824,2579.588028,3587.95826,96.28509631,2725.233848,3952.630586,98.69442499,2846.967102,4296.856851,103.3534098,2942.353946,4617.164234,108.2170964,2964.250407,4905.812314,110.0992784,2960.112594,5157.437913,112.3802051,2930.003239,5369.383891,122.0372416,2869.694524,5532.371163,143.8040612
1125.228661,0,-152.6023092,1168.253221,400.6275161,-63.89613859,1253.34008,802.1011946,11.08631022,1391.18158,1204.68119,73.58410392,1571.667016,1608.308774,123.3512418,1782.101406,2012.765234,118.2011397,1986.52507,2416.10524,114.8653831,2182.015572,2815.461002,112.2118707,2365.365304,3207.491149,110.2326551,2532.786048,3587.95826,109.4854798,2680.596605,3952.630586,110.6961028,2805.10348,4296.856851,114.0443669,2903.894149,4617.164234,117.590889,2930.152917,4905.812314,118.0665458,2930.919288,5157.437913,119.0396345,2906.127537,5369.383891,127.1859678,2851.49501,5532.371163,147.0646254
1070.563758,0,-132.4002441,1113.551039,400.6275161,-43.50144241,1198.554739,802.1011946,31.58010307,1336.248588,1204.68119,94.02026213,1516.545575,1608.308774,143.6199554,1726.863696,2012.765234,137.7084196,1931.524339,2416.10524,133.4500862,2127.688719,2815.461002,129.7691047,2312.217381,3207.491149,126.6657328,2481.387565,3587.95826,124.6801899,2631.572266,3952.630586,124.5152067,2759.121979,4296.856851,126.3609654,2861.648699,4617.164234,128.3955017,2892.699374,4905.812314,127.2411591,2898.853796,5157.437913,126.6964647,2879.901991,5369.383891,133.1044102,2831.498854,5532.371163,150.8360526
